Datetime,Water Level (m)
2023-03-03 06:00:00,-0.74128526
2023-03-03 07:00:00,-0.7619272
2023-03-03 08:00:00,-0.68942237
2023-03-03 09:00:00,-0.5300497
2023-03-03 10:00:00,-0.3137417
2023-03-03 11:00:00,-0.092844725
2023-03-03 12:00:00,0.08478505
2023-03-03 13:00:00,0.16950668
2023-03-03 14:00:00,0.14447752
2023-03-03 15:00:00,0.0059633064
2023-03-03 16:00:00,-0.20113927
2023-03-03 17:00:00,-0.42400986
2023-03-03 18:00:00,-0.62303007
2023-03-03 19:00:00,-0.76846325
2023-03-03 20:00:00,-0.8014094
2023-03-03 21:00:00,-0.73356974
2023-03-03 22:00:00,-0.595305
2023-03-03 23:00:00,-0.4154571
2023-03-04 00:00:00,-0.2425777
2023-03-04 01:00:00,-0.12209809
2023-03-04 02:00:00,-0.112020984
2023-03-04 03:00:00,-0.21123149
2023-03-04 04:00:00,-0.38650018
2023-03-04 05:00:00,-0.59784776
2023-03-04 06:00:00,-0.7816436
2023-03-04 07:00:00,-0.87521505
2023-03-04 08:00:00,-0.85124254
2023-03-04 09:00:00,-0.7035557
2023-03-04 10:00:00,-0.47314447
2023-03-04 11:00:00,-0.20201945
2023-03-04 12:00:00,0.045159783
2023-03-04 13:00:00,0.21904776
2023-03-04 14:00:00,0.27961096
2023-03-04 15:00:00,0.19514772
2023-03-04 16:00:00,-0.013702462
2023-03-04 17:00:00,-0.28504053
2023-03-04 18:00:00,-0.56267035
2023-03-04 19:00:00,-0.79227376
2023-03-04 20:00:00,-0.91259634
2023-03-04 21:00:00,-0.8779754
2023-03-04 22:00:00,-0.7206773
2023-03-04 23:00:00,-0.48957896
2023-03-05 00:00:00,-0.24596448
2023-03-05 01:00:00,-0.051021896
2023-03-05 02:00:00,0.028560482
2023-03-05 03:00:00,-0.025463324
2023-03-05 04:00:00,-0.2006356
2023-03-05 05:00:00,-0.44982967
2023-03-05 06:00:00,-0.7066847
2023-03-05 07:00:00,-0.89082336
2023-03-05 08:00:00,-0.95427567
2023-03-05 09:00:00,-0.8773622
2023-03-05 10:00:00,-0.65491414
2023-03-05 11:00:00,-0.34458554
2023-03-05 12:00:00,-0.028555853
2023-03-05 13:00:00,0.23400588
2023-03-05 14:00:00,0.3839542
2023-03-05 15:00:00,0.36717072
